BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem
11,,,,,2,Cust15 Cust15,BP01,Cust15 Cust15,00163e37-bedf-1ed8-9883-fe15a0b5fc9e,,CB9980000753,2018-05-25,13:52:33,Cust15,0003,,0,0,false,false,,false,,,,00:00:00,,Cust15,,Cust15,Cust15,,,,,CUST15,,,,,,,false,,CB998000075320180525135233,,,,0,,,,,,false,
202,202,,,,2,Nue tech inc,BP01,Nue tech inc,fa163e6c-c3e1-1eea-beb3-d6841a58ddb7,,CB9980000065,2020-09-18,11:17:54,Nue tech,0003,,0,0,false,false,,false,,,2020-09-18,11:29:19,CB9980000065,inc,,Nue tech inc,,,,,,IOT,,,,,,,false,,CB998000006520200918112919,,,,0,,,,,,false,
203,203,,,,2,Expo technologies Plc,BP01,Expo technologies Plc,fa163e6c-c3e1-1eea-beb4-57e556b55ee9,,CB9980000065,2020-09-18,11:37:33,Expo technologies,0003,,0,0,false,false,,false,,,2020-09-18,11:38:31,CB9980000065,Plc,,Expo technologies Plc,,,,,,IOT,,,,,,,false,,CB998000006520200918113831,,,,0,,,,,,false,
1018,,1018,,,2,Bechtle AG Kriek street,BP01,Bechtle AG Kriek street,00163e37-bedf-1ee8-b6e7-c2f79da743a9,,CB9980000295,2018-10-29,05:48:11,Bechtle AG,0003,,0,0,false,false,,false,,,2018-10-29,05:51:10,CB9980000295,Kriek street,,Bechtle AG,Kriek street,,,,,BECHTLE AG,,,,,,,false,,CB998000029520181029055110,,,,0,,,,,,false,
1710,1710,,,,2,Inlandskunde DE 80,BP01,Inlandskunde DE 80,fa163e6c-c3e1-1eec-97b1-41014faf9a05,,S4TESTER,2021-12-15,09:48:14,Inlandskunde,0003,,0,0,false,false,,false,,,2021-12-15,09:56:24,S4TESTER,DE 80,,Inlandskunde DE 80,,,,,,,,,,,,,false,,S4TESTER20211215095624,,,,0,,,,,,false,
1000000,,,,,2,BANK5115,BP02,BANK5115,00163e19-8846-1ed6-9d9e-0830195e0c2c,,CB9980000083,2016-09-07,11:43:12,BANK,,,0,0,false,false,,false,,,,00:00:00,,115,,BANK5115,,,,,,,,,,,,,false,,CB998000008320160907114312,,,,0,,,,,,false,
1000001,,,,,2,BANK ICS,BP02,BANK ICS,00163e19-8846-1ed6-9d9e-48b6db69ccd1,,CB9980000083,2016-09-07,11:57:38,BANK,,,0,0,false,false,,false,,,,00:00:00,,ICS,,BANK ICS,,,,,,,,,,,,,false,,CB998000008320160907115738,,,,0,,,,,,false,
1000002,,,,,2,BNK1189,BP02,BNK1189,00163e19-8846-1ed6-9db5-99ba98160d75,,CB9980000083,2016-09-08,10:12:53,BNK,,,0,0,false,false,,false,,,,00:00:00,,1189,,BNK1189,,,,,,,,,,,,,false,,CB998000008320160908101253,,,,0,,,,,,false,
1000010,,,,,2,Bank5,BP02,Bank5,00163e19-8846-1ee6-9ecf-1e510e1fcedd,,CB9980000083,2016-09-14,12:44:16,Bank,,,0,0,false,false,,false,,,,00:00:00,,5,,Bank5,,,,,,,,,,,,,false,,CB998000008320160914124416,,,,0,,,,,,false,
1000020,,,,,2,Fast Bikes Inc.,BP02,Fast Bikes Inc.,00163e19-8846-1ed6-a6ba-a9305dba1b20,,CB9980000172,2016-10-24,10:33:45,Fast Bikes,,,0,0,false,false,,false,,,,00:00:00,,Inc,,Fast Bikes Inc.,,,,,,,,,,,,,false,,CB998000017220161024103345,,,,0,,,,,,false,
